,time_step,conversion_rate,cost_of_production,fiat_reserve,mech_step,operational_budget,overhead_cost,producer_roi_estimate,run,smooth_avg_fiat_reserve,smooth_avg_token_reserve,token_reserve,token_supply,tx_volume,volume_of_production,price
0,0,1.0,10.0,25000.0,0.0,25000.0,500.0,1.0999999999999999,5.5,25000.0,25000.0,25000.0,25000.0,1000.0,20.0,1.0
1,1,1.00355738436096,9.399415737610282,25428.56993550029,5.0,25000.0,511.7037111001768,1.250335952576154,5.5,25010.34625808461,25188.54670000607,27518.036221356168,28250.0,1063.6397366590577,22.0,0.9964552257634722
2,2,1.0387056904700407,8.912992772710579,25882.616489528704,5.0,25000.0,511.78293666462736,1.4849447195346852,5.5,25065.79593112293,26204.556317494287,35980.51981092976,37967.5,1113.819102267655,25.143994988963872,0.9627366145914485
3,3,1.1015917920273803,8.563627034099518,26343.696885453424,5.0,25000.0,511.8548171774245,1.6522249799075022,5.5,25160.61683472414,27954.342766841743,44309.21040383745,47587.82500000001,1204.4066031351863,29.406543926572535,0.9077772794217994
4,4,1.1881876847864996,8.16629606270739,26816.246823702768,5.0,25000.0,511.9658928053932,1.7553882272520593,5.5,25292.012186958807,30348.35345177144,52464.73107699451,57111.946750000025,1286.8830847107783,34.919773615095636,0.8416178797373125
5,5,1.294577888155331,7.8421207317900175,27300.447703725134,5.0,25000.0,512.0733666909971,1.802510606375234,5.5,25457.532354757288,33303.06353944552,60421.59613387101,66540.82728250007,1365.2813870993045,41.827528544050274,0.7724525570453852
6,6,1.417042400613797,7.663968185533519,27796.678475148226,5.0,25000.0,512.1821468994451,1.8000033300173828,5.5,25654.945297415317,36741.15009347111,68161.0296843229,75875.41900967501,1445.2706228114826,50.253626535800905,0.7056951856675894
7,7,1.5521079384275518,7.385282250721571,28305.332941745397,5.0,25000.0,512.2971428118581,1.7594182766451607,5.5,25882.260347425556,40591.47023207413,75669.82023225682,85116.66481957816,1528.7098514992977,60.260788060410114,0.6442850881963177
8,8,1.6965806581042857,7.007259059769142,28829.032687722163,5.0,25000.0,512.4163633062097,1.6934488706764483,5.5,26137.77503654397,44788.94906766148,82939.32715236346,94265.49817138235,1623.5072690723562,71.87767973175549,0.5894208419877741
9,9,1.8475510754458782,6.853949996386737,29370.577533862728,5.0,25000.0,512.5449037728443,1.6078565386739174,5.5,26420.217694656127,49274.400714494855,89965.96314474678,103322.84318966861,1733.2958055591037,85.082188064712,0.5412570257407716
10,10,2.002424257743728,6.690067629929249,29916.4788009718,5.0,25000.0,512.681680404886,1.5075703895248058,5.5,26728.326563257433,53994.649236335375,96754.23279055663,112289.61475777204,1805.8118988767405,99.7437025876162,0.49939466930288295
11,11,2.1590146199449096,6.45689648853062,30492.638236153303,5.0,25000.0,512.8001856088911,1.3990982763472117,5.5,27060.492447753262,58902.5154716459,103308.24247411525,121166.71861019412,1970.5638551552747,115.64524031036547,0.46317426049922555
12,12,2.31522933029074,6.414830858900153,31087.958087958712,5.0,25000.0,512.9623998117003,1.2853646230747349,5.5,27417.09048192022,63955.47424586152,109634.23427957349,129955.05142409222,2106.406726584331,132.50097347345798,0.4319226553139869
13,13,2.469405358733727,6.376604956351643,31694.91848968892,5.0,25000.0,513.099589410007,1.1686789859198663,5.5,27797.32903525341,69117.13385991027,115750.15778160679,138655.5009098515,2225.7938968840153,149.9139360892612,0.404955790860025
14,14,2.620230267979617,6.232913153061992,32316.514078230324,5.0,25000.0,513.2262443602098,1.0530785883750131,5.5,28200.028882909613,74356.41910588605,121673.02145277969,147268.94590075302,2361.268354246745,167.43334870462425,0.38164584701598414
15,15,2.7666418214024615,6.22046631882718,32942.16381798022,5.0,25000.0,513.3521885932919,0.9403654226165149,5.5,28624.146774784756,79646.97777997081,127418.98984078597,155796.25644174532,2464.946551107242,184.6112541174311,0.3614490290228757
16,16,2.907939636567358,6.053498972943576,33561.937422817275,5.0,25000.0,513.4563293168072,0.8325867575436215,5.5,29067.692501677993,84967.14447524444,133004.7255774127,164238.2938773278,2532.446161549916,200.97766368574545,0.3438860928971819
17,17,3.0436934593306004,5.862732454283107,34195.04411193425,5.0,25000.0,513.5358989426485,0.7318429121817664,5.5,29528.587819846583,90298.96881452481,138452.85891779896,172595.91093855462,2671.8443627406896,216.14738336611586,0.32854819756386705
18,18,3.1734632454865452,5.860176438790038,34847.788194090135,5.0,25000.0,513.6383404467084,0.6370269383952155,5.5,30006.532270756503,95627.867293273,143780.95039095712,180869.95182916903,2844.2681613617933,229.8088710500062,0.31511315009627067
19,19,3.296905133576926,5.6391336680477755,35539.51941913065,5.0,25000.0,513.7400911242651,0.5491193445008461,5.5,30502.138986735008,100942.94235826225,149015.09177857704,189061.25231087784,3096.4921123337635,241.649341652884,0.3033147632352604
20,20,3.4136436898458395,5.535664623418234,36247.46886110805,5.0,25000.0,513.8596434188879,0.46897401387312243,5.5,31017.02676322322,106236.31948068566,154157.02048908957,197170.63978776883,3263.0205951313606,251.52301384158176,0.2929421143087022
21,21,3.5236310590003606,5.665637662070677,36990.88859538253,5.0,25000.0,513.9393078071404,0.39410131855722297,5.5,31551.296524253874,111502.97613928819,159252.36848294063,205198.93338989076,3517.9630085261183,259.3468716882609,0.28379815686029736
22,22,3.6268129262271627,5.5557777008828175,37746.07170441261,5.0,25000.0,514.0361549229102,0.32509935382712263,5.5,32105.92634134633,116740.97506286988,164290.21040401497,213146.94405599203,3674.693003379615,265.006410235192,0.27572417445866515
23,23,3.723363144128718,5.503753413604267,38516.81727762602,5.0,25000.0,514.0950535977737,0.2629770899497536,5.5,32680.291393536132,121948.70718971605,169290.0012093684,221015.47461543223,3838.607024306396,268.5488190581689,0.26857439397950644
24,24,3.813499256175479,5.483762557707323,39297.133322531176,5.0,25000.0,514.1486204444863,0.20716349198401632,5.5,33273.849961729284,127125.90842591878,174255.32228575594,228805.3198692778,3975.703364501305,270.08871859507036,0.2622263524453628
25,25,3.897510852308639,5.33591666905275,40102.20968688775,5.0,25000.0,514.1866907418846,0.15841632016390578,5.5,33886.00072479729,132273.1655596302,179210.60687692618,236517.2666705848,4172.128540347691,269.77497293348654,0.25657401297745286
26,26,3.9755665377381564,5.089199802668588,40950.659916193734,5.0,25000.0,514.230859919683,0.11800336624689789,5.5,34517.737532588464,137392.98026925715,184185.01886495602,244152.09400387912,4450.283135634744,267.84997964347957,0.25153647675305574
27,27,4.047732711430097,4.996363559538319,41833.55829628588,5.0,25000.0,514.2904456954282,0.08490046109978307,5.5,35171.17746693877,142489.84377733796,189171.24489449762,251710.57306384057,4692.922599781083,264.6268135421204,0.24705188590545343
28,28,4.1141803163685875,5.177991876058413,42748.43679365119,5.0,25000.0,514.3336414470632,0.05531950820505737,5.5,35847.556069014456,147568.04764168244,194180.1364171608,259193.4673332021,4927.299004107561,260.3587665171323,0.2430617822027445
29,29,4.1750845313841065,5.1354982032275025,43741.47533376608,5.0,25000.0,514.3709473470356,0.04261787828079757,5.5,36548.80152507942,152632.84761165862,199258.6858209009,266601.5326598696,5334.439514425449,205.9910028329894,0.23951610859205388
30,30,4.230225634300375,5.065726455277721,44795.39642825617,5.0,25000.0,514.2561079601415,0.04920251537953042,5.5,37279.945882307664,157691.1260399753,204384.29292730294,273935.51733327104,5677.649808265849,184.30610620258162,0.2363940097879406
31,31,4.279666278161648,4.861261130183651,45881.14952893341,5.0,25000.0,514.261572070783,0.06428125068046571,5.5,38043.370130511896,162748.2263702395,209512.31057217883,281196.1621599384,5886.975425074242,179.5150868475186,0.23366307908231457
32,32,4.323611970762006,4.795034809929614,47027.4225247666,5.0,25000.0,514.2867879819929,0.0874403536675679,5.5,38839.82925098884,167806.17818182014,214697.2546309572,288384.20053833886,6215.251291804632,167.52715076194033,0.23128810049615922
33,33,4.362113528657955,4.787340493385448,48258.92489354358,5.0,25000.0,514.2911324010116,0.11467006415304166,5.5,39672.41602881392,172871.22258627426,219980.9471546277,295500.35853295564,6670.17646998449,164.14601474639386,0.2292466698608964
34,34,4.39513502582472,4.976297975447364,49564.838022488126,5.0,25000.0,514.3514734104483,0.13836977341749485,5.5,40545.60240679188,177951.63181539133,225332.06548100474,302545.35494762624,7078.737862610118,162.3968630182595,0.22752429541396313
35,35,4.422688418761376,4.872308526636131,50951.01086310826,5.0,25000.0,514.405489664123,0.16014513842769015,5.5,41463.01692660168,183052.68214942148,230748.781881068,309519.90139814984,7495.975766475435,161.0126846107142,0.22610681678544775
36,36,4.4447370580377825,4.827544865069918,52427.03508120699,5.0,25000.0,514.4595684167554,0.18188389811528177,5.5,42428.54959325201,188178.39561356278,236219.64649289925,316424.7023841685,7940.351599101642,160.0170570909095,0.2249851874120693
37,37,4.461218840324306,4.725614055963216,53981.66902850809,5.0,25000.0,514.511643567799,0.20357120077828222,5.5,43446.1940187554,193330.48263857653,241697.75215797205,323260.4553603263,8315.931244123536,159.39814850401513,0.22415398925539048
38,38,4.472126275049427,4.7539746582734885,55652.56085561721,5.0,25000.0,514.5549658057029,0.22404284860386392,5.5,44519.543864784784,198508.31821910158,247242.0851692416,330027.8508067231,8854.999638355197,159.19232812915172,0.2236072817485342
39,39,4.477341339587245,4.871869448540995,57441.665322379646,5.0,25000.0,514.6152699810021,0.24033950994414593,5.5,45654.47717501318,203714.9511511714,252829.10964368717,336727.5722986559,9403.88667328373,159.36093664209818,0.22334683111120307
40,40,4.476792226693748,4.8390868333755455,59334.21992119493,5.0,25000.0,514.6759724500578,0.25321859613829384,5.5,46856.427935877,208950.6631337768,258410.96213168075,343360.29657566926,9867.226589883374,159.81786194105845,0.22337422631260498
41,41,4.470516258776925,4.887631495070135,61331.03413560778,5.0,25000.0,514.72640059166,0.2636646948008578,5.5,48129.266033304244,214212.07009830108,263977.2985802266,349926.6936099125,10316.553915767156,160.5314791497203,0.2236878119024193
42,42,4.4586069950046445,4.992116146570181,63456.206773379476,5.0,25000.0,514.7744431618644,0.26964913574450294,5.5,49476.87264629385,219495.76523518717,269555.8347200354,356427.42667381366,10868.80398972117,161.45347483447927,0.2242852983275684
43,43,4.441086067472785,4.973225037320292,65759.02314327835,5.0,25000.0,514.830077939855,0.2723664330669674,5.5,50905.51699352061,224801.75552651312,275216.55716507905,362863.15240707574,11646.16638546091,162.49243909351875,0.22517014640273644
44,44,4.417828375490067,5.000717252760901,68172.7926382424,5.0,25000.0,514.9045561625139,0.27280798143919266,5.5,52423.27712588438,230131.79252390875,280796.0405830366,369234.5208830049,12108.307941294654,163.6324104346784,0.22635555639688484
45,45,4.389038158803269,5.030394285049472,70746.2488073889,5.0,25000.0,514.9472568880506,0.2710329846877297,5.5,54033.87491916407,235478.13024773746,286376.5694367788,375542.17567417497,12763.161588864801,164.81372894453347,0.22784035221800475
46,46,4.3548397261559115,5.026220137444449,73450.29460301696,5.0,25000.0,515.0057078405462,0.2679799659944246,5.5,55743.16802293425,240837.15986902348,291877.1331997573,381786.7539174325,13283.37218579525,166.0051127396391,0.22962957603096829
47,47,4.315479188386334,5.169282855965474,76370.31216666294,5.0,25000.0,515.0473766032243,0.26216876297475955,5.5,57556.354986582395,246202.84525441958,297434.3538980172,387968.8863782591,14180.840574297545,167.18703839613488,0.2317239769551351
48,48,4.270970359885296,5.288567378451553,79476.04535390246,5.0,25000.0,515.1179686094652,0.2528894398293693,5.5,59483.53053006118,251577.23372589843,302963.0133070152,394089.1975144763,14951.091356200614,168.26512868547562,0.23413882929097563
49,49,4.221480253558003,5.135103363690877,82753.77077976591,5.0,25000.0,515.1753188440882,0.2445684841192074,5.5,61531.88047240133,256956.17459012076,308418.7769767072,400148.305539331,15631.19681401903,169.16212570654568,0.2368837327042255
50,50,4.16730036458343,5.080926841589123,86273.35599477639,5.0,25000.0,515.2234942633934,0.23908292395137873,5.5,63708.13529614686,262334.2744304436,313895.02766545885,406146.82248393784,16609.687867706045,169.9407510785655,0.23996350455049612
51,51,4.1085000323142395,5.035092556799663,90059.03499568679,5.0,25000.0,515.2880003163327,0.23475455496139963,5.5,66023.8692291538,267712.0819169912,319377.50561815023,412085.35425909824,17696.89860658862,170.63582350232525,0.24339783184490305
52,52,4.045159203600142,5.0426772803435265,94060.94758946405,5.0,25000.0,515.3548017296022,0.2310199704598336,5.5,68490.69199800887,273088.1639516532,324777.9829562164,417964.50071650767,18555.307130321275,171.25599497221697,0.2472090589438389
53,53,3.97761808730252,4.985666749159008,98317.65364206371,5.0,25000.0,515.4050788767997,0.2282444154750543,5.5,71116.25405256807,278456.5169257571,330131.2087717312,423784.8557093426,19555.951377695907,171.81012161147217,0.25140674093177323
54,54,3.9061799353975353,5.011194401257153,102812.29512603306,5.0,25000.0,515.4600553033488,0.225436565670128,5.5,73909.71875929504,283812.1073224329,335396.22420284693,429547.00715224893,20479.639847639144,172.32602733842918,0.25600459183614876
55,55,3.8312237391692747,5.00253149495167,107623.8399056952,5.0,25000.0,515.5061145553702,0.2225719051329784,5.5,76879.86791418615,289149.8137862732,340666.93223469827,435251.5370807263,21739.11523596088,172.78738756769067,0.2610132083324453
56,56,3.752935523921086,5.106689211056175,112751.09540942324,5.0,25000.0,515.5705607337514,0.2187762065610831,5.5,80040.38615301583,294469.36265423615,345875.43537412403,440899.0217099192,22987.928981735582,173.20853093345477,0.26645808158068085
57,57,3.6716183437844236,5.006557831030605,118209.64720323514,5.0,25000.0,515.6263064919054,0.21543262198932436,5.5,83404.27755071696,299767.03976485657,351038.27128344064,446490.0314928198,24293.026110377374,173.54644864899487,0.2723594628763284
58,58,3.5875631208778676,4.940132467063519,124052.7207649083,5.0,25000.0,515.684616506659,0.21420204043149257,5.5,86985.44753239492,305041.0615401333,356184.0315696172,452025.1311778917,25816.648861703576,173.8436546612547,0.27874074024802176
59,59,3.500994242001741,4.921450912530608,130263.8687720429,5.0,25000.0,515.7493181095932,0.21361590045469697,5.5,90800.13976441896,310290.3339313848,361255.16160837834,457504.8798661128,27262.103808945525,174.13250269939704,0.2856331461511449
60,60,3.4123038307058233,4.9959724579523135,136733.2308694001,5.0,25000.0,515.8053882862995,0.2115563778325768,5.5,94859.65289587188,315509.3966375443,366156.1956842859,462929.8310674519,28232.27655863457,174.4136706518927,0.29305713957867385
61,61,3.322211343679572,4.959792658260587,143543.19831840057,5.0,25000.0,515.8399751260112,0.20901707311170625,5.5,99167.5212861779,320689.141666322,370974.8180169477,468300.5327567774,29522.19266072776,174.64087479098563,0.30100433011357813
62,62,3.2312569269635882,4.906870221107947,150684.58513238176,5.0,25000.0,515.8820140943897,0.20746312735891634,5.5,103732.5069288481,325824.3560527199,375699.11796852126,473617.5274292103,30791.94804664282,174.8358877262029,0.30947709284748826
63,63,3.139980632729984,4.854764348505019,158140.93382365975,5.0,25000.0,515.9233066307386,0.20725348650144856,5.5,108561.67424612214,330911.3875784826,380338.8943326601,478881.35215491825,31999.39258971488,175.01564750040112,0.31847330189758943
64,64,3.04887797588781,4.8446907558636285,165916.8947636805,5.0,25000.0,515.9622122841862,0.20739803705426582,5.5,113660.20349431498,335948.2558670742,384926.30759473896,484092.53863336815,33234.75611993566,175.22294240520728,0.3279895121774454
65,65,2.9583096510420908,4.9609666945559345,174093.80657222692,5.0,25000.0,516.0025666057154,0.2055679762946571,5.5,119034.77228950674,340935.57309496595,389502.7224771818,489251.61324703426,34807.77023772171,175.43779219240923,0.3380308750464108
66,66,2.8684642584722915,4.951010789854569,182686.19665795128,5.0,25000.0,516.0519468146817,0.20286170654219804,5.5,124697.95673965682,345874.98950230243,394021.9437758648,494359.09711456415,36434.170970154235,175.59223016329614,0.3486186021130999
67,67,2.7795610620296003,4.930662013538747,191696.07097937708,5.0,25000.0,516.0971262842206,0.20140459853887901,5.5,130662.5734963295,350765.6198865997,398472.45583957963,499415.5061434187,38059.48428476414,175.68945431033507,0.35976903463664606
68,68,2.6918513831167936,4.778874360078751,201086.1650938228,5.0,25000.0,516.1405121760781,0.2024977634712013,5.5,136939.46593494486,355606.1383203021,402841.02150193293,504421.35108198493,39529.42945904921,175.7505068156089,0.3714915341433663
69,69,2.605601500588913,4.670447800824994,211004.25078241664,5.0,25000.0,516.178869553887,0.20623824616449404,5.5,143538.72496097468,360395.85374167404,407213.5213040715,509377.1375711647,41593.39325497903,175.8385460074807,0.3837885416376917
70,70,2.5208574168962423,4.801945772175155,221219.88888566237,5.0,25000.0,516.2310932190442,0.20853199046357115,5.5,150475.54568406421,365136.09189419454,411454.7875507946,514283.3661954531,42745.59021418029,176.01163099144134,0.3966904249710525
71,71,2.4379641991327463,4.86468346547871,231737.54573412085,5.0,25000.0,516.2599946748215,0.20811227603018084,5.5,157746.63162655648,369824.46719788923,415614.44636466005,519140.53253349825,43885.12206507665,176.18984653957395,0.4101782956270353
72,72,2.3571819034002774,5.020928008031523,242795.86195972934,5.0,25000.0,516.2866692324401,0.20506362364474906,5.5,165353.8808950679,374459.7454083746,419798.4699391872,523949.12720816344,45991.625913303185,176.33819311008048,0.42423539674960253
73,73,2.278455773584525,5.011043167521442,254307.19894406796,5.0,25000.0,516.3347206622547,0.20078710468517283,5.5,173315.20482201804,379044.325876371,423917.16270351707,528709.6359360816,47770.48765343502,176.38514380214193,0.4388937505803654
74,74,2.201835838781112,5.137897157230796,266312.009983439,5.0,25000.0,516.3742812382186,0.1954536113286226,5.5,181641.65648259933,383578.75334261515,427987.90383036376,533422.5395767215,49690.92053717281,176.34410303972817,0.4541664652681728
75,75,2.1273783495965453,5.124428865842453,278602.7897009987,5.0,25000.0,516.412658746041,0.18978310638355533,5.5,190341.53198316574,388062.9071156674,431956.91002969525,538088.3141809532,50790.106082911414,176.16958025649816,0.47006213078630266
76,76,2.055244550514635,4.958104080395557,291311.65929518687,5.0,25000.0,516.436711634428,0.18725741347202154,5.5,199409.42676809576,392496.147409527,435896.4876965465,542707.431039144,52388.51688981043,175.87707321811303,0.4865601029082399
77,77,1.9854547870523587,5.02169355955515,304516.15481730417,5.0,25000.0,516.4668928476846,0.18629790885844877,5.5,208851.7358081018,396878.6775556216,439809.88842358347,547280.3567287533,54314.03728377569,175.56160882162763,0.5036629423753425
78,78,1.9179495868772458,4.764121018743922,318222.6891984899,5.0,25000.0,516.5023606757654,0.18889016368841785,5.5,218680.4997111008,401211.59805261187,443687.06299356266,551807.5531614661,56270.54032119182,175.21105068139875,0.5213901381152428
79,79,1.8526491879069018,4.805349747607584,332393.36104512436,5.0,25000.0,516.538209532552,0.19361942745086502,5.5,228906.49356475033,405496.0524538397,447512.7780670263,556289.4776298512,58076.545838427955,174.96967117007782,0.5397675968701806
80,80,1.7895327117628366,4.846105882217904,346882.84389038524,5.0,25000.0,516.5707593034678,0.19678733255636094,5.5,239533.33457080278,409732.40652410476,451247.7995648399,560726.5828535529,59296.958206484116,174.824774726958,0.5588050966751639
81,81,1.7286835091633685,4.866435542412454,361766.37900935306,5.0,25000.0,516.591362328998,0.19892383503230482,5.5,250554.80374978858,413919.7280149407,454947.32201155927,565119.3170250175,60802.8427996732,174.75771902741937,0.5784748883755884
82,82,1.6701057581365457,4.99600177066747,376946.767391376,5.0,25000.0,516.6167880466065,0.19839230643942338,5.5,261968.54347210165,418058.1051332054,458578.34828102496,569468.1238547672,61935.794412783565,174.74883617071598,0.5987644765178046
83,83,1.6138268531090136,5.008047028012173,392498.96658940497,5.0,25000.0,516.6353546394446,0.19639055486984355,5.5,273766.81598352734,422147.5578113559,462183.4315604001,573773.4426162192,63359.63264285476,174.71547503148295,0.6196451608631464
84,84,1.5597942418614457,5.022568501696141,408378.5573473413,5.0,25000.0,516.6590019909142,0.1944185037360228,5.5,285947.21766991226,426188.87890662765,465735.8695404116,578035.7081900564,64614.98078737959,174.6617754401958,0.6411102010522928
85,85,1.5079819800032601,5.089887990147528,424577.63118301606,5.0,25000.0,516.6788155803871,0.19141220372685055,5.5,298504.2054223502,430182.43889461766,469236.6658171614,582255.3511081559,65832.71961519618,174.5706464522762,0.6631378977073971
